selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status
FairCFS_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|occupation|marital-status|education|age|hours-per-week|workclass|capital-gain,results/adult/final/diagnostics/FairCFS_k8_lambda0.0_diagnostics.csv,0.7646666666666667,0.8084952890253001,0.6582768635043562,0.9037645430601682,0.42233164043075266,0.2612824571159687,0.14937759336099585,0.5717092337917485,0.3527443787786156,0.1443812819245345,0.7580645161290323,0.9242902208201893,0.05952380952380952,0.4122681883024251,0.16622570469115705,0.8201585379279973,0.06998222019728191,0.2717193255261839,0.5869269590475168,0.860768795929904,0.9360768795929905,ok
FairCFS_k8_lambda0.0,gradient_boosting,8,0.0,8.0,relationship|occupation|marital-status|education|age|hours-per-week|workclass|capital-gain,results/adult/final/diagnostics/FairCFS_k8_lambda0.0_diagnostics.csv,0.858,0.7766305997989922,0.6853766617429837,0.9212515210928802,0.17962158328510053,0.2994070046581136,0.07676348547717843,0.25638506876227896,0.09550218784980158,0.1076804915514593,0.532258064516129,0.6277602523659306,0.009523809523809525,0.0884450784593438,0.09550218784980158,0.8478683741287081,0.06998222019728191,0.2717193255261839,0.5869269590475168,0.860768795929904,0.9360768795929905,ok
FairLasso_k8_lambda0.0,logistic_regression,8,0.0,8.0,native-country|occupation|marital-status|education|age|hours-per-week|relationship|education-num,results/adult/final/diagnostics/FairLasso_k8_lambda0.0_diagnostics.csv,0.784,0.8126978597605323,0.6707317073170732,0.8891090926636838,0.33139994619667557,0.3499708184427442,0.17842323651452283,0.5098231827111984,0.25903471231573943,0.24340277777777777,0.8225806451612904,0.8801261829652997,0.08333333333333333,0.34236804564907275,0.057545537804009284,0.9346167186958031,0.07115201020445644,0.2717193255261839,0.5830304536570066,0.8625777275296778,0.9389937817976258,ok
FairLasso_k8_lambda0.0,random_forest,8,0.0,8.0,native-country|occupation|marital-status|education|age|hours-per-week|relationship|education-num,results/adult/final/diagnostics/FairLasso_k8_lambda0.0_diagnostics.csv,0.7646666666666667,0.8006362110723793,0.6522167487684729,0.8827563968281242,0.3924218832793942,0.28663307646710134,0.15767634854771784,0.550098231827112,0.32086814754432447,0.18207792207792206,0.7419354838709677,0.8990536277602523,0.07142857142857142,0.39229671897289586,0.15711814388928458,0.8252405206564799,0.07115201020445644,0.2717193255261839,0.5830304536570066,0.8625777275296778,0.9389937817976258,ok
FairLasso_k8_lambda0.0,gradient_boosting,8,0.0,8.0,native-country|occupation|marital-status|education|age|hours-per-week|relationship|education-num,results/adult/final/diagnostics/FairLasso_k8_lambda0.0_diagnostics.csv,0.8346666666666667,0.7549069220612015,0.6446991404011462,0.8933610915621418,0.20025026697861725,0.27711073835378597,0.07676348547717843,0.2770137524557957,0.1312709880940266,0.1342911877394636,0.4838709677419355,0.6151419558359621,0.016666666666666666,0.12410841654778887,0.1312709880940266,0.7866004962779157,0.07115201020445644,0.2717193255261839,0.5830304536570066,0.8625777275296778,0.9389937817976258,ok
BasicFACMIM_k8_lambda0.0,logistic_regression,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/adult/final/diagnostics/BasicFACMIM_k8_lambda0.0_diagnostics.csv,0.7846666666666666,0.8140171209742526,0.6720812182741117,0.8916793571514314,0.3354392715355957,0.3445735538901411,0.17634854771784234,0.5117878192534381,0.25903471231573943,0.24340277777777777,0.8064516129032258,0.886435331230284,0.08333333333333333,0.34236804564907275,0.0799837183270582,0.9097692572609344,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok
BasicFACMIM_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/adult/final/diagnostics/BasicFACMIM_k8_lambda0.0_diagnostics.csv,0.7473333333333333,0.7916591151417294,0.6380133715377269,0.8813135652063391,0.4330270891586301,0.2591234003975034,0.15145228215767634,0.5844793713163065,0.3660451056314109,0.15869633099141298,0.7096774193548387,0.9148264984227129,0.06904761904761905,0.43509272467902993,0.20514907906787416,0.7757508342602892,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok
BasicFACMIM_k8_lambda0.0,gradient_boosting,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/adult/final/diagnostics/BasicFACMIM_k8_lambda0.0_diagnostics.csv,0.8426666666666667,0.7646254404402402,0.6609195402298851,0.8982744863590038,0.22274168697878027,0.21267000922083912,0.06016597510373444,0.2829076620825147,0.2820291034903837,0.12363315696649028,0.3709677419354839,0.6529968454258676,0.014285714285714285,0.11554921540656206,0.2820291034903837,0.568100358422939,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok
SubsetFACMIM_k8_lambda0.0,logistic_regression,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.0_diagnostics.csv,0.7846666666666666,0.8140171209742526,0.6720812182741117,0.8916793571514314,0.3354392715355957,0.3445735538901411,0.17634854771784234,0.5117878192534381,0.25903471231573943,0.24340277777777777,0.8064516129032258,0.886435331230284,0.08333333333333333,0.34236804564907275,0.0799837183270582,0.9097692572609344,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok
SubsetFACMIM_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.0_diagnostics.csv,0.7473333333333333,0.7916591151417294,0.6380133715377269,0.8813135652063391,0.4330270891586301,0.2591234003975034,0.15145228215767634,0.5844793713163065,0.3660451056314109,0.15869633099141298,0.7096774193548387,0.9148264984227129,0.06904761904761905,0.43509272467902993,0.20514907906787416,0.7757508342602892,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok
SubsetFACMIM_k8_lambda0.0,gradient_boosting,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.0_diagnostics.csv,0.8426666666666667,0.7646254404402402,0.6609195402298851,0.8982744863590038,0.22274168697878027,0.21267000922083912,0.06016597510373444,0.2829076620825147,0.2820291034903837,0.12363315696649028,0.3709677419354839,0.6529968454258676,0.014285714285714285,0.11554921540656206,0.2820291034903837,0.568100358422939,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok
ProxyRank_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|age|education-num|marital-status|hours-per-week|occupation|native-country|workclass,results/adult/final/diagnostics/ProxyRank_k8_lambda0.5_diagnostics.csv,0.784,0.8057120126912694,0.6652892561983471,0.8881676038403328,0.35236693867236224,0.30347661443016555,0.15352697095435686,0.5058939096267191,0.26665987364988797,0.2112718505123568,0.7096774193548387,0.8769716088328076,0.07142857142857142,0.33808844507845937,0.1672941894779688,0.8092364817823161,0.038235059959285195,0.11338842115256896,0.550579326654486,0.8077444884115319,0.8789372526851329,ok
ProxyRank_k8_lambda0.5,random_forest,8,0.5,8.0,education|age|education-num|marital-status|hours-per-week|occupation|native-country|workclass,results/adult/final/diagnostics/ProxyRank_k8_lambda0.5_diagnostics.csv,0.7733333333333333,0.8081810671305067,0.6620278330019881,0.8903130214965436,0.34995394109351174,0.34027201475334257,0.18049792531120332,0.5304518664047151,0.2747163915494871,0.24774925595238093,0.7903225806451613,0.8958990536277602,0.09047619047619047,0.3651925820256776,0.10557647298259898,0.8821558382553385,0.038235059959285195,0.11338842115256896,0.550579326654486,0.8077444884115319,0.8789372526851329,ok
ProxyRank_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|age|education-num|marital-status|hours-per-week|occupation|native-country|workclass,results/adult/final/diagnostics/ProxyRank_k8_lambda0.5_diagnostics.csv,0.8433333333333334,0.7676911634212762,0.6647646219686163,0.8939436377715901,0.21848225713097852,0.23305193876091,0.06639004149377593,0.28487229862475444,0.23364200671619012,0.12065404475043029,0.41935483870967744,0.6529968454258676,0.014285714285714285,0.11840228245363767,0.23364200671619012,0.6422004051737572,0.038235059959285195,0.11338842115256896,0.550579326654486,0.8077444884115319,0.8789372526851329,ok
FairmRMR_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|capital-gain|hours-per-week|capital-loss|age|fnlwgt|workclass,results/adult/final/diagnostics/FairmRMR_k8_lambda0.5_diagnostics.csv,0.796,0.8102476350977619,0.6751592356687898,0.8989782492544585,0.30237060708084357,0.360055555076302,0.17012448132780084,0.4724950884086444,0.21243122070511514,0.2874914559125086,0.7419354838709677,0.8580441640378549,0.08571428571428572,0.29814550641940085,0.11610868016688713,0.8646821631878558,0.021981587585033487,0.10607945006293287,0.48034473697475893,0.7398530243075183,0.8108535895986433,ok
FairmRMR_k8_lambda0.5,random_forest,8,0.5,8.0,education|marital-status|capital-gain|hours-per-week|capital-loss|age|fnlwgt|workclass,results/adult/final/diagnostics/FairmRMR_k8_lambda0.5_diagnostics.csv,0.7733333333333333,0.8195330686180592,0.6705426356589147,0.9044706596776814,0.4030072797528308,0.28650189428107525,0.16182572614107885,0.5648330058939096,0.33133618640038043,0.16750298685782555,0.8064516129032258,0.9337539432176656,0.06666666666666667,0.3980028530670471,0.12730233031443983,0.863666085440279,0.021981587585033487,0.10607945006293287,0.48034473697475893,0.7398530243075183,0.8108535895986433,ok
FairmRMR_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|capital-gain|hours-per-week|capital-loss|age|fnlwgt|workclass,results/adult/final/diagnostics/FairmRMR_k8_lambda0.5_diagnostics.csv,0.8573333333333333,0.773564876817956,0.6815476190476191,0.9197063025615557,0.17470999192950132,0.30525479771784236,0.07676348547717843,0.25147347740667975,0.10532207184288189,0.1414447134786118,0.5161290322580645,0.6214511041009464,0.011904761904761904,0.08416547788873038,0.10532207184288189,0.8305223514000327,0.021981587585033487,0.10607945006293287,0.48034473697475893,0.7398530243075183,0.8108535895986433,ok
FairCFS_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|age|hours-per-week|occupation|capital-gain|relationship|capital-loss,results/adult/final/diagnostics/FairCFS_k8_lambda0.5_diagnostics.csv,0.798,0.8168251113898963,0.6813880126182965,0.9086473394702713,0.2989834432497208,0.3737342690777453,0.17842323651452283,0.4774066797642436,0.22051830718021875,0.27425665101721436,0.8225806451612904,0.861198738170347,0.08333333333333333,0.30385164051355207,0.03861809300905661,0.9551577454803262,0.06893425475168016,0.2717193255261839,0.5740663389396863,0.8625777275296778,0.9345618993781798,ok
FairCFS_k8_lambda0.5,random_forest,8,0.5,8.0,education|marital-status|age|hours-per-week|occupation|capital-gain|relationship|capital-loss,results/adult/final/diagnostics/FairCFS_k8_lambda0.5_diagnostics.csv,0.7713333333333333,0.8112091305586089,0.6633954857703631,0.9065772409199288,0.4238642199740766,0.2469567610233683,0.13900414937759337,0.56286836935167,0.3508559201141227,0.12473309608540926,0.7419354838709677,0.9211356466876972,0.05,0.4008559201141227,0.17920016281672946,0.8054573574900574,0.06893425475168016,0.2717193255261839,0.5740663389396863,0.8625777275296778,0.9345618993781798,ok
FairCFS_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|age|hours-per-week|occupation|capital-gain|relationship|capital-loss,results/adult/final/diagnostics/FairCFS_k8_lambda0.5_diagnostics.csv,0.8653333333333333,0.7850298569643105,0.7002967359050445,0.9251775294862531,0.16138959313273932,0.35061420628802914,0.08713692946058091,0.24852652259332023,0.07274302017525983,0.08941326530612245,0.6214511041009464,0.6290322580645161,0.007142857142857143,0.07988587731811697,0.007581153963569731,0.9879479090835558,0.06893425475168016,0.2717193255261839,0.5740663389396863,0.8625777275296778,0.9345618993781798,ok
FairLasso_k8_lambda0.5,logistic_regression,8,0.5,8.0,native-country|occupation|education|marital-status|age|hours-per-week|education-num|workclass,results/adult/final/diagnostics/FairLasso_k8_lambda0.5_diagnostics.csv,0.784,0.8057120126912694,0.6652892561983471,0.8881934947829752,0.35236693867236224,0.30347661443016555,0.15352697095435686,0.5058939096267191,0.26665987364988797,0.2112718505123568,0.7096774193548387,0.8769716088328076,0.07142857142857142,0.33808844507845937,0.1672941894779688,0.8092364817823161,0.038235059959285195,0.11338842115256896,0.5505793266544861,0.8077444884115319,0.8789372526851329,ok
FairLasso_k8_lambda0.5,random_forest,8,0.5,8.0,native-country|occupation|education|marital-status|age|hours-per-week|education-num|workclass,results/adult/final/diagnostics/FairLasso_k8_lambda0.5_diagnostics.csv,0.776,0.8064722649161251,0.6619718309859155,0.8911238787456544,0.36262217838247646,0.31128847463925186,0.16390041493775934,0.5265225933202358,0.2861490387881258,0.2102737157855268,0.7580645161290323,0.889589905362776,0.0761904761904762,0.362339514978602,0.1315253892337438,0.8521505376344086,0.038235059959285195,0.11338842115256896,0.5505793266544861,0.8077444884115319,0.8789372526851329,ok
FairLasso_k8_lambda0.5,gradient_boosting,8,0.5,8.0,native-country|occupation|education|marital-status|age|hours-per-week|education-num|workclass,results/adult/final/diagnostics/FairLasso_k8_lambda0.5_diagnostics.csv,0.8433333333333334,0.7676911634212762,0.6647646219686163,0.8940001271009912,0.21848225713097852,0.23305193876091,0.06639004149377593,0.28487229862475444,0.23364200671619012,0.12065404475043029,0.41935483870967744,0.6529968454258676,0.014285714285714285,0.11840228245363767,0.23364200671619012,0.6422004051737572,0.038235059959285195,0.11338842115256896,0.5505793266544861,0.8077444884115319,0.8789372526851329,ok
BasicFACMIM_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|age|native-country|hours-per-week|workclass|fnlwgt|capital-gain,results/adult/final/diagnostics/BasicFACMIM_k8_lambda0.5_diagnostics.csv,0.7766666666666666,0.8008056790605824,0.6578140960163432,0.8961820274491067,0.33565937604447743,0.3390691589685145,0.17219917012448133,0.5078585461689588,0.25189185517288226,0.264265873015873,0.7258064516129032,0.8738170347003155,0.09047619047619047,0.34236804564907275,0.14801058308741222,0.8306160475136835,0.023564267670995946,0.10607945006293287,0.4947544756702017,0.7403617863199548,0.8115545505935557,ok
BasicFACMIM_k8_lambda0.5,random_forest,8,0.5,8.0,education|marital-status|age|native-country|hours-per-week|workclass|fnlwgt|capital-gain,results/adult/final/diagnostics/BasicFACMIM_k8_lambda0.5_diagnostics.csv,0.754,0.8039784963952747,0.6502369668246446,0.8954735571095352,0.40725855758178514,0.2996803857799708,0.17427385892116182,0.581532416502947,0.33796617077644187,0.2023088023088023,0.7741935483870968,0.9305993690851735,0.08571428571428572,0.42368045649072755,0.15640582069807674,0.8319300164024057,0.023564267670995946,0.10607945006293287,0.4947544756702017,0.7403617863199548,0.8115545505935557,ok
BasicFACMIM_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|age|native-country|hours-per-week|workclass|fnlwgt|capital-gain,results/adult/final/diagnostics/BasicFACMIM_k8_lambda0.5_diagnostics.csv,0.85,0.7651656196526377,0.6666666666666666,0.9122438267754714,0.1868279679462619,0.27408064362864654,0.07053941908713693,0.25736738703339884,0.15055459448458336,0.12644300144300144,0.46774193548387094,0.6182965299684543,0.011904761904761904,0.09415121255349501,0.15055459448458336,0.7565009874917709,0.023564267670995946,0.10607945006293287,0.4947544756702017,0.7403617863199548,0.8115545505935557,ok
SubsetFACMIM_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|hours-per-week|education-num|capital-gain|capital-loss|native-country|age,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.5_diagnostics.csv,0.7793333333333333,0.8034630312644901,0.661207778915046,0.8972400255143471,0.3398087536378384,0.3308988177885503,0.16804979253112035,0.5078585461689588,0.25903471231573943,0.24340277777777777,0.7419354838709677,0.8738170347003155,0.08333333333333333,0.34236804564907275,0.13188155082934772,0.8490741819028764,0.023013541869612332,0.10607945006293287,0.3258911520059796,0.7352741661955907,0.8114075749010741,ok
SubsetFACMIM_k8_lambda0.5,random_forest,8,0.5,8.0,education|marital-status|hours-per-week|education-num|capital-gain|capital-loss|native-country|age,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.5_diagnostics.csv,0.7846666666666666,0.8288620459964364,0.6830225711481845,0.9044965506203235,0.36272407861806977,0.33227285346619345,0.18049792531120332,0.5432220039292731,0.2832857822158821,0.22730220492866407,0.8387096774193549,0.9337539432176656,0.08333333333333333,0.3666191155492154,0.09504426579831071,0.8982127288578902,0.023013541869612332,0.10607945006293287,0.3258911520059796,0.7352741661955907,0.8114075749010741,ok
SubsetFACMIM_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|hours-per-week|education-num|capital-gain|capital-loss|native-country|age,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.5_diagnostics.csv,0.856,0.7857712794126992,0.6931818181818182,0.919334414476332,0.18474512713073393,0.33070982413136246,0.0912863070539419,0.27603143418467585,0.09651178588411113,0.10980576441102756,0.6290322580645161,0.6466876971608833,0.011904761904761904,0.10841654778887304,0.01765543909636713,0.9726986624704957,0.023013541869612332,0.10607945006293287,0.3258911520059796,0.7352741661955907,0.8114075749010741,ok
ProxyRank_k8_lambda1.0,logistic_regression,8,1.0,8.0,education|age|education-num|hours-per-week|native-country|workclass|fnlwgt|capital-gain,results/adult/final/diagnostics/ProxyRank_k8_lambda1.0_diagnostics.csv,0.7533333333333333,0.7450259968601348,0.5986984815618221,0.8262317615962002,0.1084748387938273,0.726664886405653,0.2883817427385892,0.3968565815324165,0.08003459855500161,0.8920384351406999,0.6612903225806451,0.7413249211356467,0.23333333333333334,0.24108416547788872,0.08003459855500161,0.8920384351406999,0.010939411779943157,0.035954087385855815,0.383845762417769,0.6314867156585642,0.6818315432447711,ok
ProxyRank_k8_lambda1.0,random_forest,8,1.0,8.0,education|age|education-num|hours-per-week|native-country|workclass|fnlwgt|capital-gain,results/adult/final/diagnostics/ProxyRank_k8_lambda1.0_diagnostics.csv,0.7753333333333333,0.7536323815665904,0.6148571428571429,0.8515201513914027,0.1081609860681998,0.7040110650069156,0.2572614107883817,0.3654223968565815,0.01938536684644343,0.9259784735812133,0.6935483870967742,0.7129337539432177,0.19285714285714287,0.20827389443651925,0.01938536684644343,0.9728090208392807,0.010939411779943157,0.035954087385855815,0.383845762417769,0.6314867156585642,0.6818315432447711,ok
ProxyRank_k8_lambda1.0,gradient_boosting,8,1.0,8.0,education|age|education-num|hours-per-week|native-country|workclass|fnlwgt|capital-gain,results/adult/final/diagnostics/ProxyRank_k8_lambda1.0_diagnostics.csv,0.82,0.6970665561986447,0.5573770491803278,0.8503585895555937,0.077122174306467,0.5686243217363549,0.1016597510373444,0.1787819253438114,0.042230589193039625,0.7550453514739229,0.4416403785488959,0.4838709677419355,0.04523809523809524,0.05991440798858773,0.042230589193039625,0.9127234490010514,0.010939411779943157,0.035954087385855815,0.383845762417769,0.6314867156585642,0.6818315432447711,ok
